Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
Kamarhatty Company Limited,Unlisted,Hotel or Catering,90.00,50.553,https://wwipl.com/,,,,,
Amtek Auto Limited,Suspended,Auto Components,2.00,49.651,https://wwipl.com/,,,,,
Sri Chamundeswari Sugars Limited,Delisted,Sugar,20.00,48.909,https://wwipl.com/,,,,,
Pratibha Industries Limited,Suspended,Engineering,2.00,47.719,https://wwipl.com/,,,,,
Kusum Industrial Gases Limited,Unlisted,"Energy, Oil & Gas",400.00,47.501,https://wwipl.com/,,,,,
The Travancore Rubber and Tea Company,Unlisted,"Tea, Coffee & Plantation","1,150.00",47.150,https://wwipl.com/,,,,,
BT Syndicate Limited,Illiquid/unquoted,Bank,4.55,46.724,https://wwipl.com/,,,,,
SVOGL Oil Gas and Energy Limited,Delisted,"Energy, Oil & Gas",10.00,46.361,https://wwipl.com/,,,,,
Oswal Minerals Limited,Illiquid/unquoted,Mining & Minerals,60.10,45.378,https://wwipl.com/,,,,,
BS Limited,Delisted,Electric Equipment,1.00,44.168,https://wwipl.com/,,,,,
SBI Home Finance Limited,Suspended,NBFC,29.10,43.650,https://wwipl.com/,,,,,
Sterling Biotech Limited,Suspended,Chemical,1.00,43.304,https://wwipl.com/,,,,,
APL Metals Limited,Illiquid/unquoted,Hotel or Catering,40.00,42.906,https://wwipl.com/,,,,,
Sri Chakra Cement Limited,Delisted,Cement,47.10,42.390,https://wwipl.com/,,,,,
Amol Minechem Limited,Unlisted,Electricity,515.00,42.185,https://wwipl.com/,,,,,
Trans Globe Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",180.00,40.709,https://wwipl.com/,,,,,
Hicks Thermometers India Limited,Unlisted,Healthcare,"1,450.00",39.948,https://wwipl.com/,,,,,
Badra Estates And Industries Limited,Unlisted,Other,"1,125.00",39.545,https://wwipl.com/,,,,,
Rydak Syndicate Limited,Unlisted,Agriculture & Agro Products,400.00,38.925,https://wwipl.com/,,,,,
Prudential Sugar Corporation Limited,Suspended,Food & Drinks,12.00,38.702,https://wwipl.com/,,,,,
North Eastern Publishing And Advertising Co Ltd,Illiquid/unquoted,Publication,9.30,37.671,https://wwipl.com/,,,,,
Amalgamations Repco Limited,Unlisted,Auto Components,392.00,37.157,https://wwipl.com/,,,,,
MIL Industries Limited,Unlisted,Other,117.00,36.855,https://wwipl.com/,,,,,
The Scottish Assam India Limited,Unlisted,"Tea, Coffee & Plantation",446.00,35.680,https://wwipl.com/,,,,,
